Item #,Description,Bottle Size,Vintage,Vendor,Case Size,Pack Qty,Unit Price,Pack Price,Case Price,Current Inventory On Hand,Item Unit Cost,Item Case Cost,UPC data
5847,ABERFELDY 12 YEAR SINGLE MALT,750ML,,FYFY,6,1,55.99,0,0,4,44.09,264.54,80480220006
3680,ABERLOUR 16 YEAR SPEYSIDE SCOTCH,750ML,,7,6,1,139.99,0,0,4,114.09,684.54,80432102169
15573,ABITA FLUFFERNUTTER 6PK NR,12OZ,,REMARKABLE,24,6,0,14.99,55.99,0,1.8771,45.05,80020410300
15572,ABITA PURPLE HAZE 6PK CANS,12OZ,,REMARKABLE,24,6,0,9.49,39.99,18,1.2833,30.8,80020500056
15852,ABSENTE ABSINTHE,750ML,,ALAL,12,1,43.99,0,0,2,33.29,399.48,689768211028
14007,ABSOLUT   BERRY 4PK,12OZ,,ABAB,24,4,0,11.99,0,40,2.2475,53.94,89540535319
14960,ABSOLUT   COCKTAILS OS VARIETY  8PK,355ML,,ALAL,24,8,1.99,20.99,0,23,1.9788,47.49,149608
14960,ABSOLUT   COCKTAILS OS VARIETY  8PK,355ML,,ALAL,24,8,1.99,20.99,0,23,1.9788,47.49,89540535999
14714,ABSOLUT GIFT SET W/KAHLUA,750ML,,ALAL,6,1,23.99,0,0,0,23.07,138.42,80432001752
14009,ABSOLUT MANGO 4PK,12OZ,,ABAB,24,4,0,12.99,0,16,2.2475,53.94,89540535289
13676,ABSOLUT   OS CRANBERRY 4PK,12OZ,,ABAB,24,4,0,11.99,0,0,2.2475,53.94,
13677,ABSOLUT   OS CRANBERRY PINEAPPLE 4PK,12OZ,,ABAB,24,4,0,11.99,0,60,2.2475,53.94,80432001172
13677,ABSOLUT   OS CRANBERRY PINEAPPLE 4PK,12OZ,,ABAB,24,4,0,11.99,0,60,2.2475,53.94,80432001158
13677,ABSOLUT   OS CRANBERRY PINEAPPLE 4PK,12OZ,,ABAB,24,4,0,11.99,0,60,2.2475,53.94,80432001172
13677,ABSOLUT   OS CRANBERRY PINEAPPLE 4PK,12OZ,,ABAB,24,4,0,11.99,0,60,2.2475,53.94,80432001158
13686,ABSOLUT   OS VARIETY  8PK,355ML,,ALAL,24,8,0,20.99,0,48,1.9788,47.49,80432001257
5895,ABSOLUT PEARS,1L,,ALAL,12,1,31.99,0,0,0,26.54,318.48,835229001343
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,835229000704
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8043210997
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8043210997
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,835229000704
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,835229000704
680,ABSOLUT VODKA,1.75L,,GAFY,6,1,35.99,0,0,71,29.09,174.54,835229000605
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,80432001752
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8043210997
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,80432001752
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,80432001752
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8043210675
677,ABSOLUT VODKA,1L,,GAFY,12,1,30.99,0,0,14,20.7483,248.98,835229000407
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,835229000308
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,835229000308
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,835229000308
